State,"2,013","2,014","2,015","2,016","2,017",AVG
Alabama,"4,827,660","4,840,037","4,850,858","4,860,545","4,874,747",4850769.40
Alaska,"736,760","736,759","737,979","741,522","739,795",738563.00
Arizona,"6,616,124","6,706,435","6,802,262","6,908,642","7,016,270",6809946.60
Arkansas,"2,956,780","2,964,800","2,975,626","2,988,231","3,004,279",2977943.20
California,"38,347,383","38,701,278","39,032,444","39,296,476","39,536,653",38982846.80
Colorado,"5,262,556","5,342,311","5,440,445","5,530,105","5,607,154",5436514.20
Connecticut,"3,602,470","3,600,188","3,593,862","3,587,685","3,588,184",3594477.80
Delaware,"925,114","934,805","944,107","952,698","961,939",943732.60
District of Columbia,"650,114","660,797","672,736","684,336","693,972",672391.00
Florida,"19,584,927","19,897,747","20,268,567","20,656,589","20,984,400",20278446.00
Georgia,"9,981,773","10,083,850","10,199,533","10,313,620","10,429,379",10201631.00
Hawaii,"1,408,038","1,417,710","1,426,320","1,428,683","1,427,538",1421657.80
Idaho,"1,610,187","1,630,391","1,649,324","1,680,026","1,716,943",1657374.20
Illinois,"12,890,403","12,882,438","12,862,051","12,835,726","12,802,023",12854528.20
Indiana,"6,567,484","6,593,182","6,610,596","6,634,007","6,666,818",6614417.40
Iowa,"3,089,876","3,105,563","3,118,473","3,130,869","3,145,711",3118098.40
Kansas,"2,892,900","2,899,553","2,905,789","2,907,731","2,913,123",2903819.20
Kentucky,"4,399,121","4,410,415","4,422,057","4,436,113","4,454,189",4424379.00
Louisiana,"4,626,795","4,648,797","4,671,211","4,686,157","4,684,333",4663458.60
Maine,"1,327,975","1,328,903","1,327,787","1,330,232","1,335,907",1330160.80
Maryland,"5,932,654","5,970,245","6,000,561","6,024,752","6,052,177",5996077.80
Massachusetts,"6,711,138","6,757,925","6,794,002","6,823,721","6,859,819",6789321.00
Michigan,"9,899,219","9,914,675","9,918,170","9,933,445","9,962,311",9925564.00
Minnesota,"5,416,074","5,452,649","5,483,238","5,525,050","5,576,606",5490723.40
Mississippi,"2,987,721","2,988,578","2,985,297","2,985,415","2,984,100",2986222.20
Missouri,"6,041,142","6,058,014","6,072,640","6,091,176","6,113,532",6075300.80
Montana,"1,011,921","1,019,931","1,028,317","1,038,656","1,050,493",1029863.60
Nebraska,"1,867,414","1,880,920","1,893,564","1,907,603","1,920,076",1893915.40
Nevada,"2,786,547","2,831,730","2,883,057","2,939,254","2,998,039",2887725.40
New Hampshire,"1,322,622","1,328,684","1,330,134","1,335,015","1,342,795",1331850.00
New Jersey,"8,913,735","8,943,010","8,960,001","8,978,416","9,005,644",8960161.20
New Mexico,"2,085,161","2,083,207","2,082,264","2,085,432","2,088,070",2084826.80
New York,"19,712,514","19,773,580","19,819,347","19,836,286","19,849,399",19798225.20
North Carolina,"9,849,812","9,941,160","10,041,769","10,156,689","10,273,419",10052569.80
North Dakota,"722,908","738,658","754,859","755,548","755,393",745473.20
Ohio,"11,567,845","11,593,741","11,606,027","11,622,554","11,658,609",11609755.20
Oklahoma,"3,849,840","3,875,008","3,904,353","3,921,207","3,930,864",3896254.40
Oregon,"3,919,664","3,960,673","4,016,537","4,085,989","4,142,776",4025127.80
Pennsylvania,"12,778,450","12,790,341","12,791,124","12,787,085","12,805,537",12790507.40
Rhode Island,"1,052,784","1,054,782","1,055,916","1,057,566","1,059,639",1056137.40
South Carolina,"4,765,862","4,824,758","4,892,423","4,959,822","5,024,369",4893446.80
South Dakota,"842,513","849,455","854,036","861,542","869,666",855442.40
Tennessee,"6,490,795","6,540,007","6,590,726","6,649,404","6,715,984",6597383.20
Texas,"26,479,279","26,954,436","27,454,880","27,904,862","28,304,596",27419610.60
Utah,"2,899,961","2,938,671","2,984,917","3,044,321","3,101,833",2993940.60
Vermont,"626,044","625,665","624,455","623,354","623,657",624635.00
Virginia,"8,261,689","8,316,902","8,366,767","8,414,380","8,470,020",8365951.60
Washington,"6,963,410","7,046,931","7,152,818","7,280,934","7,405,743",7169967.20
West Virginia,"1,852,333","1,847,624","1,839,767","1,828,637","1,815,857",1836843.60
Wisconsin,"5,736,673","5,751,272","5,759,744","5,772,917","5,795,483",5763217.80
Wyoming,"582,341","583,334","586,102","584,910","579,315",583200.40
